"t_id","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","c1"
3124,107484645,119038853,119810020,102772597,98435276,94898268,77087360,106001783,123466643,125624005,129260949,111252233,95468123,86729922,"c1_3"
13091,117587997,118621950,90034906,73401946,75759616,79692338,77544107,113776256,90970478,109320946,103812090,105811607,83721722,85987567,"c1_3"
4161,117181572,97524668,114970257,102236284,107669715,128562188,81403380,119013410,117182086,126620504,117442566,93851404,125610013,82445386,"c1_5"
7783,65635059,81567742,131689526,126945279,122000734,75628571,105947360,64226172,134604605,72025837,86139855,71348811,83902427,131564005,"c1_14"
16742,128127437,128498628,125346006,85208773,98098035,94040085,76646141,125435577,127804044,129892386,129775817,123794479,95158324,70262352,"c1_1"
2463,106004322,102844425,109130801,125689107,111684883,122951346,71077952,70778885,103677954,115467136,131364184,119573184,125802218,81436821,"c1_8"
16705,77207811,109467539,124787911,96878950,102236161,112539668,76621421,95945691,123732828,109881247,105908528,88202611,116130715,81844874,"c1_9"
3590,85772150,108265478,95420854,95945234,102664352,90236214,77871368,82345994,92224447,130579159,130023453,104598806,97517673,86874475,"c1_3"
18731,101310546,87556266,89387633,78742749,92288083,91012485,115909214,100989746,86377304,86796368,80957059,77716467,90177537,116392007,"c1_5"
13159,95947221,75927922,135925125,107722480,107610162,70815669,109862562,125836802,135326695,105403634,88084216,77333728,66935750,116011386,"c1_10"
2357,129262467,113509300,125829672,71827554,70909954,122459899,94684356,130824869,122290404,77170130,99616481,112197638,121909202,116515687,"c1_3"
17853,117310209,87556266,103907723,96736238,98098035,90641587,94350830,119854560,96608846,110101122,125894661,94638029,103546886,110938817,"c1_3"
9671,111739029,90881183,83361793,71369292,81529100,83654074,110763273,124127973,91028363,86287223,72969252,70723731,73107532,96470832,"c1_16"
1982,100437275,123735620,120067114,101193023,110627961,106192520,76615607,105746198,121789207,130062550,124442516,117440515,109966093,70839274,"c1_1"
17111,85465200,82154186,83367086,107093924,107480118,95952901,121766289,90311990,85074426,85926504,94500155,87716711,102773523,125963402,"c1_23"
17606,117225561,65021387,115494179,78627215,71567151,75511734,115344384,114426546,109061061,68330959,74715998,65194629,72888561,126467546,"c1_10"
9978,133698442,109838447,131480217,90509976,76869905,89129394,77842914,131072100,111156370,87591127,111935985,106431787,96736602,91488757,"c1_10"
18845,113390558,104212011,131653079,102798724,102659673,89136910,86797805,120235928,135266325,120458171,130163319,107249801,95448013,101713883,"c1_3"
15360,129302160,85984421,109819657,77871806,70779403,90836567,127404260,126093963,122771546,71633576,74199471,77896539,84017285,125056736,"c1_8"
12051,129045934,81567742,119202420,70837778,77370960,90340901,110741131,132186733,121778903,81009782,79533031,76809054,95448013,116222342,"c1_5"
8825,107614469,97300587,110375225,78912368,88611659,101974089,110015454,105550289,109132791,97029655,98568467,99683458,104112136,106430465,"c1_20"
4703,76348266,103318727,130811900,101712382,102659673,79242026,77744374,69206017,128614403,102882559,118133755,93851679,71602238,81114148,"c1_5"
12710,66584665,128583390,72352569,126927201,133785530,66726330,87821490,68949579,79959361,96223324,85555220,123797504,66873118,92312812,"c1_10"
13728,77596276,82842203,77344074,78376820,76290933,94633985,99616263,94484911,92414148,135559131,125923815,88878038,97103666,92355864,"c1_7"
11633,92065566,97125985,94409348,77424259,92350800,83923376,106128144,112463599,98633683,103350400,85559185,82474780,84412518,97324209,"c1_12"
12215,81233309,97763555,115357939,85524993,88083789,133300248,80740450,113839241,109053027,86859662,95158295,111252233,132122313,110952778,"c1_15"
3256,112725933,113509300,94891687,102297961,115279312,110755879,81288194,106974192,91358129,119947760,112070525,107249801,97781256,75988289,"c1_20"
17210,113390558,119669130,103767759,95881824,87852470,122459899,95161594,114834765,93323276,85926504,99196067,111689765,97316970,92200607,"c1_14"
1667,111679805,118884229,100450899,84934659,92603538,126880836,94422504,119189418,111156370,115157145,117522349,112784097,121922672,92956452,"c1_20"
11643,71833073,87649708,109054856,96481542,96642786,116954263,89175656,68678263,115642764,81264662,105713690,87097992,104216061,100401170,"c1_3"
582,77207811,114338805,113985130,108333195,110755851,122129391,88968673,75509008,116624145,105383837,104590483,105811607,115608855,101012836,"c1_4"
18680,97396036,96770702,114117154,78912368,88097820,96574149,104103495,105746198,115451688,96901508,86176620,83897592,77953438,86605473,"c1_16"
15527,72609550,119198566,131689526,120850039,122151229,116627869,76218385,68949579,129565332,126451475,123719240,112489423,116035885,76287310,"c1_3"
12641,80219751,104072855,78779530,120090734,108265520,116411340,75844168,71336226,67639979,115157145,130298472,106149056,114819219,76825120,"c1_14"
16845,81536505,69994870,77596607,114876500,83009293,76315054,87266183,89785000,85852712,97666739,99769388,84183918,120658040,76973051,"c1_24"
1894,117470347,124134192,120324300,125907058,116785153,111150406,81557650,114337330,122286248,87097554,104595911,131310298,109454989,92312812,"c1_5"
14875,102648908,109713279,109054856,101673090,98435276,122701003,99142184,101222377,115421849,114409606,123769377,104598806,116035885,117042009,"c1_3"
12280,106556094,82867426,109393626,77622874,75497746,90703557,94350830,107062578,103030598,93005268,79805955,82452835,84051121,93061265,"c1_9"
6061,111947321,113775423,120068367,85202426,87609342,122353049,98584419,120330653,117420059,91102746,111673854,105398008,125610013,100794454,"c1_20"
18242,77125544,76215088,73467093,96024526,111281786,111820934,82011413,82722358,73958067,114065579,111981080,78119015,109085570,82445386,"c1_5"
13221,129302160,97256214,119638913,77622874,71156404,116007253,115365707,131662514,122859597,71179850,79987952,100925730,109446263,126097283,"c1_4"
13416,107746727,92936005,100401324,84411308,92832309,100844832,111559428,100214252,98567673,81404019,79966617,87070316,104112136,120232188,"c1_3"
2306,128451032,109838447,125829672,80252196,77478398,110765719,111534177,105513307,110106996,77125316,80957059,99614747,126476409,121254444,"c1_15"
18154,72192604,109112059,134668597,85524992,115467495,127926409,105530664,90717686,135815633,92550316,81551894,83969012,103349497,91750467,"c1_16"
6917,106114973,119038853,99711700,121010009,122977257,128148544,109996625,99926063,86543823,121701959,118751591,100465339,126494615,107217357,"c1_8"
3069,113379582,85559273,125075762,120706347,127172774,65311178,77070357,114822474,129875518,115157145,111625513,84483051,65814503,81940601,"c1_5"
5520,128978591,96737952,119276352,84777451,88611659,75033211,104419404,125054787,116631353,126484615,129473194,99614747,72048532,111719828,"c1_6"
7250,85816395,92348989,115343403,65267488,67291564,111789718,122528428,76179163,103551726,80159084,99239852,87097992,102978637,126615917,"c1_16"
17680,133480840,104212011,135267394,121530796,92120761,90836567,86001440,107200165,134417750,121634842,104872424,111928213,127035024,65738598,"c1_24"
13456,113012488,110261065,94961667,108916257,111684883,127570137,86671771,113516831,99615063,116392091,123793051,99156160,108529311,91553839,"c1_21"
4342,85483524,87447613,131597983,78660082,76808192,99888001,105947360,69517444,136316026,103941546,123939012,83442249,89673229,101598888,"c1_18"
14335,106435091,109172747,109130801,90273132,97926923,96232837,99615620,113868807,123233522,98594161,103812090,100010981,83779072,102498304,"c1_21"
19259,81789080,76866345,72740847,115867664,116465082,83369529,66587370,75350352,73926926,126126701,125873574,77333728,84218442,65405276,"c1_3"
16272,122291364,97125985,89751600,77701213,87380493,128450568,105567346,131734704,99352653,91488928,104989297,93515529,131825417,106169139,"c1_21"
17605,122437409,81788951,120604965,78627215,75850341,76021776,71687119,118900063,128455608,80144716,93842834,100925730,76657872,71657653,"c1_14"
11797,87087926,85723865,89541049,96876485,98098035,75300904,95165877,75813240,86267489,92550316,93272589,87378054,77467901,97337989,"c1_5"
13941,106004322,127926272,103936307,101712382,115601609,122751322,99734365,114425161,98566449,119385736,104623965,99156160,95448013,81527165,"c1_16"
6108,87678506,109657000,89560630,91624987,87228718,117967596,99439983,81862253,86543823,92321610,98968283,112197638,119831060,110364693,"c1_3"
8761,85483524,92274805,73699549,114391065,122447227,84621651,82254077,82835823,75554333,115467136,111151346,93336798,95682561,91638523,"c1_3"
19123,80217827,118508101,95161091,125836468,122794147,122421265,105567346,81795460,86507903,130810499,137465920,123015306,95027964,110952778,"c1_3"
1922,112218735,119539477,73139960,113901816,117178370,105388988,66277589,99900247,74907165,105403634,112070525,117792494,114599112,66065445,"c1_3"
19117,127022191,76152872,94375537,65094151,72352423,83686136,117032566,113249066,80507590,130817558,85557408,93838719,110142886,102498304,"c1_7"
3769,122837395,104071647,114696176,95945234,98288665,122499499,71232291,114589962,109577009,121634822,125894714,106501581,126933954,76738522,"c1_23"
4163,71649003,123899748,78289648,101715774,111160825,116411340,104084926,63439288,90914941,115402048,104831806,105811607,77691610,91783171,"c1_11"
15093,85772150,104071647,115621121,90065802,88874467,101849339,76218385,81788929,108870612,86639003,103809141,105998377,103546886,91817260,"c1_3"
5048,112218735,127406051,88952548,120090734,121653003,112459879,66002440,113258178,92304656,126905268,129820028,117637121,110493719,70400694,"c1_20"
1582,67380869,127408888,89892594,97126503,121674688,116934439,94422504,62727382,90980038,135056698,111935985,112706781,103022626,70301115,"c1_11"
8576,127483901,119539477,109873517,90020649,76112741,84153528,100202595,125961144,109319604,90965777,118236362,111689732,84981326,121137658,"c1_14"
10469,81789080,124370362,115343799,115447913,115736636,115982757,80373550,90219930,111676696,121866171,126082586,123207818,114819524,85524933,"c1_3"
14292,127931690,102629379,120093487,126574024,101779363,101864635,127533369,118489674,115896408,115157145,74006069,118360883,115476330,111150935,"c1_17"
6449,112751422,109335571,105381891,91107245,102663509,116627869,99615620,114821072,109576254,96540477,98568467,105448858,120434765,106169139,"c1_3"
692,92406041,96637418,130881207,97126503,115488558,79692127,88100666,95172106,129565795,116392091,110674352,88087164,76683214,91817260,"c1_1"
10835,102825986,119670087,83821716,107479500,108265520,94633984,65067494,95431347,75564270,125340101,131658171,119799879,102773523,66585344,"c1_6"
67,96010304,91751182,83821716,91508282,92022659,75141528,110764032,105513307,98812404,81924362,81277372,78454213,83779072,111018094,"c1_20"
3986,72625093,113509300,89560630,101193023,111150690,116436359,99352597,63728389,91420237,119865488,110614667,87716711,84083303,86605473,"c1_20"
8924,72896251,85723865,78779530,78627215,75497746,122353049,99485479,70645070,85983373,91125479,98022950,84477252,104082263,100420609,"c1_3"
5729,80217827,90881183,78083765,72586012,76284988,65595191,127205377,82722358,79964587,81264854,73723237,77202486,66643101,126615806,"c1_20"
10899,106430480,86509208,109136140,85202426,76834712,84214162,93715026,101467817,110407726,75908328,99745819,84479016,95805596,110633742,"c1_14"
10761,102512932,128583390,119931567,114311764,121956374,84214162,81536496,81987747,116547453,125340101,111202742,123747744,90898439,82265750,"c1_10"
19034,102359104,91751182,83361817,102274324,112198664,106192520,99080602,108404796,86897390,109408893,104474714,87309230,109750320,106430465,"c1_3"
9860,122946356,98034569,94397271,67144323,66125825,126997732,115365707,124343852,85910054,80927299,85478074,94539124,125386592,125853706,"c1_15"
10780,134225834,77381394,120325191,77598671,66976532,79692127,126635546,118900063,111707104,67254962,73401209,83135303,96600091,130693081,"c1_14"
19299,91751173,77341016,88699148,83704069,88611659,111575212,120823023,88867703,92224447,86859662,105908528,84417270,110362767,130918539,"c1_23"
12534,122437409,92841891,99376914,70778931,70513072,94040085,99265995,119835720,98346625,98594161,98111205,94177925,96731453,107309715,"c1_4"
12773,113266641,82841444,105151199,70837778,83100635,94398562,82084934,118884978,103427629,91233440,85557408,78119341,95379415,82332487,"c1_6"
2009,76688088,119038853,72908888,114755811,116457763,123208302,76171424,89916280,74922576,110870774,117575645,119147727,120732573,81928404,"c1_8"
11514,107480622,128290652,103809116,91624987,106664118,101382304,75844168,114834765,104698125,129774927,129630258,122973459,109085035,70301115,"c1_1"
1838,108136714,77341016,110166923,71155531,70803760,101864635,120590199,100937836,109367617,68294453,67928064,72102850,109750320,126896420,"c1_3"
5871,76824605,70652477,104859901,126539043,88611659,94633984,127163620,71595346,99615063,80592956,74650776,70939757,103578367,125378201,"c1_17"
8093,101753227,102236160,120325191,91226594,91885206,117194278,77732000,107613807,127804044,104081382,126091480,98668547,115476330,107023577,"c1_3"
6150,76688088,118516599,95420854,79692529,87851928,100680224,105670123,94371894,86288692,96223324,105665228,93851812,116013741,111739509,"c1_22"
17774,97058370,118686842,114556986,91374128,97264386,116055310,110763273,101232019,103677975,75628772,74996587,87445085,109724046,120588686,"c1_16"
10616,76824588,122881414,72352569,126420783,116075728,106750896,66388000,71338834,75308608,126435294,125963639,118608236,109211284,65746427,"c1_14"
17609,113249755,127926272,129596174,91750527,111684883,105832883,112263270,112459961,128093737,119884854,94246431,112885941,89792780,85724316,"c1_16"
17607,95947320,96665624,94961667,77622874,87687197,128978959,99439983,108406244,81814370,97700074,105908528,87915436,104071525,111719828,"c1_3"
56,91934274,76286350,99948473,71821811,72223287,101449728,122766483,82971775,96923218,72518907,72955941,72491431,109966093,125359693,"c1_18"
7791,113390558,108265478,105120378,90721977,87315866,90703557,80740606,112459961,104452602,97832440,117968603,111445988,96732005,101187585,"c1_3"
6272,118885171,128188876,89443946,78917804,103268463,115943864,81805458,119556083,104777868,114387991,103809141,118870806,110493719,77073765,"c1_20"
14126,100805067,114264838,103686633,97507525,107610284,93921424,98884004,89422394,98117905,103810020,110614667,111252233,97517705,101975976,"c1_21"
9769,85644349,123736615,72912608,95846281,91553803,80593688,110705553,88432050,68452480,86915807,94962175,119537667,76886835,120182805,"c1_14"
1502,106556094,124001922,73139960,71091181,81529100,132450177,70672113,105935774,74519718,120325201,130298472,99910421,120671598,85524933,"c1_3"
8423,118261722,124471694,84453512,96993514,112328993,122290222,80513293,114337330,86213971,116392091,99090636,99690531,115559709,86509346,"c1_10"
6173,111679805,85991007,99134005,95958273,71567151,112325616,115891543,95293062,86130314,126126701,92800779,106430672,131072001,100420609,"c1_7"
17845,97519617,76984373,101010550,66128835,81638479,80593688,121943442,90578146,110100609,76056413,68784889,70845135,76709937,110952778,"c1_11"
1541,81536505,90701866,83361817,78917804,88177386,84486736,121706994,76179163,86638674,67929206,74199471,77725957,83893386,121666795,"c1_19"
13900,105952551,118686842,103918595,77753360,87852470,116696837,112263611,108394448,103416977,120718520,93856110,99156160,96217154,86509346,"c1_16"
2230,96010304,127631469,84877270,115392544,120601809,128450940,77596259,99746013,86638868,126484488,125894661,122973459,126029318,82332487,"c1_3"
6424,77628265,70262729,77758467,120673715,92553055,100260162,127959057,75509008,79897359,72233039,69210715,70653896,125591230,125960843,"c1_17"
17886,127931690,77099676,120586246,96745652,102893302,75239322,104991782,125836802,115147768,76056413,80490852,71480178,77192370,101076032,"c1_16"
7071,117587997,127926722,124961581,102274324,122192477,128450940,93847665,120061961,111280135,130809926,117637120,112814619,114819524,97661470,"c1_10"
4847,106967831,76949617,78779530,109069239,106664118,122024242,80777234,105667342,68764205,90843575,111935631,70533010,89391293,75895515,"c1_14"
198,77596276,66550594,69078928,127191047,133193867,76399194,95161594,71564303,69480806,86507522,87465636,71573138,84148235,115474789,"c1_23"
7092,77860223,109223428,90180833,96993298,98566229,111164819,76290351,82357190,98648064,109881247,104590483,94634054,115493060,77627417,"c1_9"
5257,91250873,127408888,99852458,106957826,107351681,122701003,104103495,90419214,92290657,130384661,130089982,124193187,127140233,110685321,"c1_23"
9097,106984459,113782101,120068367,115474702,111202668,76295826,77871368,94505714,103551726,114557995,117575645,106724970,72898765,82574220,"c1_10"
4404,95687502,108069100,100532349,120330593,101779363,84477083,99801481,75350352,81002545,91125479,117442566,112784097,97316970,116011386,"c1_14"
2007,76824588,92348989,95082336,120325356,115343361,105924181,93580941,75557163,74873826,91050358,131608667,82282775,131500288,76287310,"c1_22"
10203,122391585,91982462,131689526,65094968,66616314,94398562,110764035,120633493,128319501,81397185,81004913,84183918,84953698,106609244,"c1_20"
4844,96535199,77439265,68030849,132659841,127420763,90501859,127031536,118884978,74517403,77170130,68696382,76809054,108158420,121526757,"c1_17"
2717,91900013,90506905,120543830,91255626,87315866,76021776,110337944,82432607,104529155,102663891,104910841,93076402,77578502,110364693,"c1_10"
1661,107484645,102629376,77596607,90065802,92818091,127535579,112242838,114887611,86267489,125923757,124835040,93515529,115766833,115418868,"c1_3"
14954,85483754,124471694,115275210,73531436,82313762,105909067,110705553,95136069,116596056,102797080,87097872,99690531,90463184,91638523,"c1_11"
1217,121774188,96770702,77758467,102274324,107480118,80092493,94896658,126355983,75566731,102488095,112206588,94201785,83888611,102241290,"c1_5"
12377,117969131,82048862,109081454,95958273,121766310,116342751,116654366,112948450,123481373,92433211,87030287,77333728,109270067,121137658,"c1_21"
4132,113152176,97763555,109638530,114172439,121765927,83372885,106168642,120330653,115451688,119796906,111981080,93068082,83624399,106627174,"c1_15"
10028,80565303,124544815,119552941,120090734,127439076,100923777,116150985,75117862,123492360,91783172,92857890,106149056,89673229,110669533,"c1_8"
14333,80240651,113703943,125829672,97507525,98288665,116042874,77842914,100937836,121902914,109059669,99769388,93851404,120732573,75895515,"c1_9"
18816,81233309,124082388,78732876,96993514,88868277,126997732,72351917,76311684,81273194,98818642,118752306,123535748,126176111,82265750,"c1_4"
6685,128978953,113509300,109958820,84094445,91801963,90201728,77070341,124780589,123788130,119796906,124907268,105998377,91029537,85724316,"c1_3"
1976,91767238,96637418,83887688,83428967,82313762,128148544,87266183,90578146,74517403,80805942,87097676,94634355,104071195,97649591,"c1_3"
14789,87687169,91428387,77627406,85524993,92853089,89194726,100202595,100937836,80866015,87097554,87556172,87438340,96217154,97536485,"c1_5"
15777,73411497,81531049,113786881,66060490,71642810,90728384,116415660,69206016,111676696,76740629,81018497,78643343,95027964,120588241,"c1_5"
6011,122492595,113268733,72352569,115475246,92288083,75762405,86609467,100499907,86130314,135922798,137639691,112814619,84688957,110933843,"c1_14"
12476,108037960,123535641,99637288,96600157,102792948,122024242,98584419,114250314,81800285,76418488,94962175,117987328,132397560,70723578,"c1_22"
17182,100858227,97844787,131689526,114049024,82909972,74975809,115622192,100989746,129565795,85926504,72955941,107219373,84940641,97053760,"c1_17"
12919,122224647,114347098,99376914,113605689,92670086,116342751,105899798,119556083,104857900,109701400,123766829,117637120,126632564,110898379,"c1_24"
8673,80240651,70649395,67940110,114167003,127994301,65311178,105132638,76324140,74450369,87044219,92808407,83135303,64631550,125045873,"c1_23"
3847,113152176,87023418,129511678,78833353,70513072,110889864,110131888,119916063,128785428,71430706,88146660,88202611,103333767,126147312,"c1_4"
15079,102359104,118759529,72876580,114366325,108005672,128986548,70209995,99746013,68327228,80159084,99090636,123535748,125495893,76738522,"c1_3"
4521,77125544,86275761,109873517,78917804,88416971,65012725,122587628,70805336,123608129,76415931,79708802,82282775,64240883,120731892,"c1_20"
9134,106556094,119198566,135925125,125585785,133306452,66726330,99092217,90578146,128785428,102558619,119021030,106226218,65077731,126097283,"c1_23"
7879,106639663,109223428,119552941,106957826,106664118,100923777,86025190,113839241,121681814,85983471,104989297,104598806,84148230,102184843,"c1_3"
7180,72399044,97335475,77450911,115474702,120156481,128464586,71569866,81987747,93408481,119796906,110385523,94506093,115476330,65405276,"c1_9"
18308,117773709,81531049,104333332,72352499,75502513,100459083,115909214,93847599,103550788,77071290,80732804,84417270,102641170,125451035,"c1_5"
4968,80263533,81297677,74028549,127139888,121653003,75762405,80740450,68424213,69423870,130384661,125895004,72486237,76710013,80794254,"c1_14"
910,128620377,86577466,124780554,107118242,127069427,117553778,80373550,106404659,117334131,126677263,105047041,94638029,104216061,82321425,"c1_9"
12459,108008481,114338805,72876580,95846281,126881034,101783186,121230843,94234470,68459371,86129949,86139855,99879206,96731453,130680215,"c1_23"
12106,97235607,123899748,78127446,115867664,107351681,127140813,71917925,108406244,74609462,87097554,104831806,124384377,125961576,75895515,"c1_3"
16918,117521711,97888975,114808046,72302465,71565826,111575212,66388000,89668062,115642764,86258213,105713690,94402972,109270067,77744655,"c1_8"
17144,95683591,96737952,100253220,84411308,87476001,90320597,76546162,101222377,92414148,126435294,124442516,99638715,96732005,76023427,"c1_3"
8530,112728919,119669130,89541049,90770167,102394097,111990272,112263270,113776256,86056454,120073926,103812090,107219373,103940849,96633122,"c1_16"
10922,134182390,124082388,135143556,132181590,132390838,71892995,80560702,124127973,136511149,120718520,126082586,118870806,96731453,85734274,"c1_24"
18889,66571812,87447613,68030849,131908438,127032370,89163706,104991782,64225423,74448899,75892662,110626543,76837899,97781256,125045873,"c1_14"
11651,127468681,81920000,131653079,72089929,66388998,96232837,127780225,125139884,128234339,72584055,69210715,98914101,120619122,120855082,"c1_7"
1299,112725933,109052007,119552941,97517576,92799380,89130540,87039916,105746198,115247147,104857621,118536173,105998377,89653528,101590610,"c1_3"
4693,77860223,123536239,72486825,78627215,76037060,132940411,93494102,77661106,81527538,110972946,125967954,105907184,131082200,115475870,"c1_22"
7711,86441621,70458915,99095965,91838158,81529100,76213395,71303356,75509008,109053027,75724994,93693938,71573138,90310346,65142799,"c1_23"
14363,72931211,70385665,68747831,121261721,110668576,71839091,93759120,68949579,68946008,87050936,105713690,67255418,77192370,101713883,"c1_14"
18941,87032630,122748938,100139350,126615614,121422648,122232691,105670123,89916734,98252503,130549066,137921578,130547954,108234746,111719828,"c1_3"
18468,80817120,114321796,94891687,114876500,120848413,75511734,98584419,90219930,86774073,98645353,111167955,106300341,89547241,111674447,"c1_10"
14905,97519617,108265526,99637288,119874652,112475462,105924181,100708747,90419214,96923218,109054570,105908528,106226218,116130715,111674447,"c1_3"
19333,132742661,86509208,124780554,114035182,111922311,79729925,100625579,124343852,103550788,121153925,117441069,100674950,110362767,92073428,"c1_24"
8954,80263533,109648579,83361793,113901816,127535530,123208302,76602012,77270248,86787432,129761319,124907268,106501581,115493060,81800456,"c1_15"
4345,127926526,91346561,99494930,109323258,107820479,121920342,94844091,105513742,87042667,130810499,124069706,100663296,125440321,76554257,"c1_24"
18760,106171995,113451618,114820132,91750527,96511594,122436916,120587325,126388913,109132791,81397185,79805955,100663297,109454989,120095632,"c1_16"
18430,111454506,81790922,94371962,66617354,71642810,117754372,120881382,124860321,91973117,71350916,79708802,70779075,84688957,131141794,"c1_20"
838,128620377,119410420,125444594,96639646,75497746,90728384,105524244,118900063,127823942,96999579,123793051,123046799,96491356,91750467,"c1_8"
14945,122224647,66060522,136140260,91750452,97521014,80243563,105132638,124061868,135341602,76817780,74203685,66075604,71602238,120731892,"c1_5"
5065,117583585,91428387,115357939,78212324,87228718,75825420,116406920,113508423,98586919,75908328,94375539,93994295,72355065,124902005,"c1_5"
4742,102648908,82896940,108799369,71243004,87557552,111230485,126279933,100575640,103427629,92433211,74006069,88645030,115474890,96593582,"c1_5"
9964,86441621,113782101,82968641,114049024,102885779,101783186,80373550,75117862,74448899,116417652,122835089,119800130,104112136,85077908,"c1_14"
17577,122492595,82841681,93857717,85328022,75923193,75628652,99485479,126093963,92544379,71199150,88084216,84477252,72898765,120762673,"c1_3"
7764,97104623,91428387,83944830,91497964,98288665,116007253,115670239,101202165,80613601,67878653,74449358,82452835,103951474,115605740,"c1_5"
1621,111947321,108265526,115357939,107012254,111414923,76652750,100244298,114834765,104857900,103662366,104188176,100663297,84444059,111749783,"c1_10"
17229,121784104,122748935,119276352,102101056,110886938,105917649,77744374,126167047,128234339,126411064,125963639,117987328,109195089,71246204,"c1_1"
18559,119021642,123736615,124863897,84410870,106758144,127926409,111560599,126436764,127804044,125923757,99893475,105907184,115766833,85590478,"c1_16"
10856,80217827,91492003,100139350,90509976,91783229,115943864,105524244,76179163,91234321,104918441,105628627,93071344,125802218,116129793,"c1_5"
8721,122224647,92471917,103980012,71827554,92158812,84938547,111560599,125831465,115147011,92550316,87556148,82325996,90964856,115474789,"c1_15"
16903,73471881,85784337,72898190,96298970,111711390,80243563,120855035,71338834,74609462,72574001,74596355,82325996,78350878,126933296,"c1_10"
1973,116916513,114338805,119202420,78912368,106987778,71839091,82052814,114434818,110100609,131153207,137504010,111308682,96491356,81800456,"c1_22"
